budget,static_frontier_quality,learned_router_quality,oracle_quality,router_feasible,oracle_feasible,static_feasible,oracle_cost,router_realized_cost,static_expected_cost,oracle_method,oracle_lp_quality,router_vs_static_gap,oracle_vs_router_gap,fraction_of_available_routing_value_captured
0.0005859499999999999,0.7301587301587301,,0.7301587301587301,False,True,True,0.0005859499999999999,,0.0005859500000000001,approx,0.7301587301587301,,,
0.001001,0.7539926592685109,,0.9682539682539683,False,True,True,0.0010009999999999997,,0.001001,approx,0.9682539682539683,,,
0.00589018,0.8270956341249874,,0.9682539682539683,False,True,True,0.0010009999999999997,,0.00589018,approx,0.9682539682539683,,,
0.01119441,0.8295672577011104,,0.9682539682539683,False,True,True,0.0010009999999999997,,0.01119441,approx,0.9682539682539683,,,
0.01649864,0.8320388812772335,,0.9682539682539683,False,True,True,0.0010009999999999997,,0.01649864,approx,0.9682539682539683,,,
0.02180287,0.8345105048533564,,0.9682539682539683,False,True,True,0.0010009999999999997,,0.02180287,approx,0.9682539682539683,,,
0.0271071,0.8369821284294795,,0.9682539682539683,False,True,True,0.0010009999999999997,,0.0271071,approx,0.9682539682539683,,,
0.03241133,0.8394537520056025,,0.9682539682539683,False,True,True,0.0010009999999999997,,0.03241133,approx,0.9682539682539683,,,
0.03771556,0.8412698412698413,,0.9682539682539683,False,True,True,0.0010009999999999997,,0.036308749999999994,approx,0.9682539682539683,,,
0.04301979,0.8412698412698413,,0.9682539682539683,False,True,True,0.0010009999999999997,,0.036308749999999994,approx,0.9682539682539683,,,
