name,lambda_qph,mean_s,cv,rho,ew_s,et_s,stable,honesty
ecologic,10.0,36.19670329670329,1.5708495869342074,0.10054639804639803,7.0153899090819625,43.21209320578525,True,hypothetical dedicated replica; RTT treated as exclusive S
ecologic,50.0,36.19670329670329,1.5708495869342074,0.5027319902319901,63.44684957490559,99.64355287160888,True,hypothetical dedicated replica; RTT treated as exclusive S
ecologic,90.0,36.19670329670329,1.5708495869342074,0.9049175824175824,597.2729864201093,633.4696897168126,True,hypothetical dedicated replica; RTT treated as exclusive S
ecologic,200.0,36.19670329670329,1.5708495869342074,2.0109279609279604,,,False,hypothetical dedicated replica; RTT treated as exclusive S
always_t1,10.0,42.47277472527472,1.3371580536042416,0.11797992979242977,7.9195731520296215,50.39234787730434,True,hypothetical dedicated replica; RTT treated as exclusive S
always_t1,50.0,42.47277472527472,1.3371580536042416,0.5898996489621489,85.16479502991743,127.63756975519215,True,hypothetical dedicated replica; RTT treated as exclusive S
always_t1,90.0,42.47277472527472,1.3371580536042416,1.061819368131868,,,False,hypothetical dedicated replica; RTT treated as exclusive S
always_t1,200.0,42.47277472527472,1.3371580536042416,2.3595985958485954,,,False,hypothetical dedicated replica; RTT treated as exclusive S
always_t2,10.0,6.41321428571429,2.0593715152866063,0.01781448412698414,0.3048179620636529,6.718032247777943,True,hypothetical dedicated replica; RTT treated as exclusive S
always_t2,50.0,6.41321428571429,2.0593715152866063,0.0890724206349207,1.64331278412673,8.056527069841021,True,hypothetical dedicated replica; RTT treated as exclusive S
always_t2,90.0,6.41321428571429,2.0593715152866063,0.16033035714285726,3.2089883310335185,9.62220261674781,True,hypothetical dedicated replica; RTT treated as exclusive S
always_t2,200.0,6.41321428571429,2.0593715152866063,0.3562896825396828,9.30194154718692,15.71515583290121,True,hypothetical dedicated replica; RTT treated as exclusive S
frontier,10.0,1.1416758241758242,0.5813926370737494,0.0031713217338217342,0.002429933282771072,1.1441057574585953,True,hypothetical dedicated replica; RTT treated as exclusive S
frontier,50.0,1.1416758241758242,0.5813926370737494,0.01585660866910867,0.012306271646370659,1.153982095822195,True,hypothetical dedicated replica; RTT treated as exclusive S
frontier,90.0,1.1416758241758242,0.5813926370737494,0.028541895604395608,0.02244054019850924,1.1641163643743335,True,hypothetical dedicated replica; RTT treated as exclusive S
frontier,200.0,1.1416758241758242,0.5813926370737494,0.06342643467643468,0.05172529467459092,1.1934011188504152,True,hypothetical dedicated replica; RTT treated as exclusive S
random,10.0,17.022499999999997,2.3292222712776502,0.047284722222222214,2.7142064212074253,19.736706421207423,True,hypothetical dedicated replica; RTT treated as exclusive S
random,50.0,17.022499999999997,2.3292222712776502,0.23642361111111107,16.932594840246818,33.955094840246815,True,hypothetical dedicated replica; RTT treated as exclusive S
random,90.0,17.022499999999997,2.3292222712776502,0.42556249999999995,40.51405648263168,57.53655648263168,True,hypothetical dedicated replica; RTT treated as exclusive S
random,200.0,17.022499999999997,2.3292222712776502,0.9456944444444443,952.3393686237,969.3618686237,True,hypothetical dedicated replica; RTT treated as exclusive S
